May 29 14:22:14 ubuntu-server kernel: [UFW BLOCK] IN=eth1 OUT=eth0 MAC=ab:20:21:99:df:31:0f:a5:52:21:35:ac:08:00 SRC=222.28.152.200 DST=104.2.48.219 LEN=632 TOS=0x00 PREC=0x00 TTL=62 ID=42908 DF PROTO=TCP SPT=27948 DPT=842 WINDOW=47714 RES=0x00 RST URGP=5
Jun 16 07:52:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT=wlan0 MAC=69:dc:7a:32:48:c1:f4:de:a5:10:98:98:08:00 SRC=190.69.102.8 DST=32.190.97.170 LEN=1259 TOS=0x00 PREC=0x00 TTL=100 ID=10561 DF PROTO=TCP SPT=53797 DPT=490 WINDOW=63705 RES=0x00 FIN URGP=8
Jun 04 19:01:14 ubuntu-server kernel: [UFW BLOCK] IN=eth1 OUT=wlan0 MAC=7c:6c:8b:12:93:b0:93:ee:fe:ff:6f:6e:08:00 SRC=44.40.202.132 DST=226.139.94.227 LEN=443 TOS=0x00 PREC=0x00 TTL=53 ID=7654 DF PROTO=TCP SPT=60667 DPT=997 WINDOW=51356 RES=0x00 PSH URGP=9
Jun 07 20:38:14 ubuntu-server kernel: [UFW BLOCK] IN=eth1 OUT=wlan0 MAC=1e:58:4d:12:b4:47:c9:df:7c:9a:08:79:08:00 SRC=69.143.178.86 DST=199.32.11.53 LEN=881 TOS=0x00 PREC=0x00 TTL=112 ID=58429 DF PROTO=TCP SPT=51107 DPT=805 WINDOW=13156 RES=0x00 PSH URGP=7
Jun 12 19:01:14 ubuntu-server kernel: [UFW BLOCK] IN=eth1 OUT=wlan0 MAC=4b:1d:42:d3:e6:61:24:cb:50:84:98:ce:08:00 SRC=73.11.152.224 DST=10.148.56.167 LEN=760 TOS=0x00 PREC=0x00 TTL=48 ID=51875 DF PROTO=ICMP SPT=- DPT=- WINDOW=- RES=0x00 ACK URGP=5
May 24 04:31:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2293 DF PROTO=TCP SPT=54126 DPT=395 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 05 17:58:14 ubuntu-server kernel: [UFW BLOCK] IN=eth1 OUT= MAC=f3:60:1b:a2:76:88:0d:d7:92:30:6d:79:08:00 SRC=71.134.226.36 DST=53.163.35.216 LEN=344 TOS=0x00 PREC=0x00 TTL=111 ID=23478 DF PROTO=ICMP SPT=- DPT=- WINDOW=- RES=0x00  URGP=5
Jun 12 11:00:14 ubuntu-server kernel: [UFW BLOCK] IN=eth1 OUT=eth0 MAC=ce:30:b7:d5:f2:9e:29:fe:c4:db:d3:62:08:00 SRC=3.44.97.125 DST=40.249.122.252 LEN=375 TOS=0x00 PREC=0x00 TTL=127 ID=25173 DF PROTO=ICMP SPT=- DPT=- WINDOW=- RES=0x00 PSH URGP=6
Jun 13 14:28:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT=eth0 MAC=d1:63:2c:b1:a1:bc:a7:13:e6:47:91:ec:08:00 SRC=152.183.30.55 DST=27.80.232.161 LEN=1000 TOS=0x00 PREC=0x00 TTL=82 ID=19385 DF PROTO=UDP SPT=38388 DPT=485 WINDOW=- RES=0x00  URGP=7
May 31 00:59:14 ubuntu-server kernel: [UFW BLOCK] IN=eth0 OUT=wlan0 MAC=7a:54:59:61:a3:0b:2e:52:10:67:b8:5e:08:00 SRC=12.223.101.208 DST=176.214.94.190 LEN=1463 TOS=0x00 PREC=0x00 TTL=39 ID=62748 DF PROTO=TCP SPT=27543 DPT=917 WINDOW=25739 RES=0x00  URGP=3
Jun 18 10:00:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2293 DF PROTO=TCP SPT=50000 DPT=40000 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:01:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2294 DF PROTO=TCP SPT=50001 DPT=40001 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:02:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2295 DF PROTO=TCP SPT=50002 DPT=40002 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:03:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2296 DF PROTO=TCP SPT=50003 DPT=40003 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:04:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2297 DF PROTO=TCP SPT=50004 DPT=40004 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:05:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2298 DF PROTO=TCP SPT=50005 DPT=40005 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:06:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2299 DF PROTO=TCP SPT=50006 DPT=40006 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:07:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2300 DF PROTO=TCP SPT=50007 DPT=40007 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:08:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2301 DF PROTO=TCP SPT=50008 DPT=40008 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:09:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2302 DF PROTO=TCP SPT=50009 DPT=40009 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:10:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2303 DF PROTO=TCP SPT=50010 DPT=40010 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:11:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2304 DF PROTO=TCP SPT=50011 DPT=40011 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:12:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2305 DF PROTO=TCP SPT=50012 DPT=40012 WINDOW=48173 RES=0x00 PSH URGP=0
Jun 18 10:13:14 ubuntu-server kernel: [UFW BLOCK] IN=wlan0 OUT= MAC=4b:b4:8e:d3:65:e2:08:20:9a:ed:62:d9:08:00 SRC=226.110.42.15 DST=13.91.195.31 LEN=1452 TOS=0x00 PREC=0x00 TTL=90 ID=2306 DF PROTO=TCP SPT=50013 DPT=40013 WINDOW=48173 RES=0x00 PSH URGP=0
